location_id,location_ods_code,location_name,care_home,location_type,location_primary_inspection_category,location_street_address,location_address_line_2,location_city,location_post_code,location_local_authority,location_region,location_nhs_region,location_onspd_ccg_code,location_onspd_ccg,location_commissioning_ccg_code,location_commissioning_ccg_name,service_population_group,domain,latest_rating,publication_date,report_type,inherited_rating_y_n,url,provider_id,provider_name,brand_id,brand_name,pc_norm,latitude,longitude,easting,northing,constituency,district,ward_name,lsoa_name,lsoa_code,imd,imd_decile
1-10052707705,VNH61,Goodwood Homecare,N,Social Care Org,Community based adult social care services,54 High Street,,Bridgnorth,WV16 4DX,Shropshire,West Midlands,Midlands,E38000257,"NHS Shropshire, Telford and Wrekin CCG",,,Overall,Effective,Requires improvement,12/02/2020,Location,Y,http://www.cqc.org.uk/location/1-10052707705,1-9905520393,Goodwood Homecare Limited,-,-,WV164DX,52.535672,-2.419253,371659,293173,South Shropshire,Shropshire,Bridgnorth East,Shropshire 033A,E01028832,16195,5
1-10052707705,VNH61,Goodwood Homecare,N,Social Care Org,Community based adult social care services,54 High Street,,Bridgnorth,WV16 4DX,Shropshire,West Midlands,Midlands,E38000257,"NHS Shropshire, Telford and Wrekin CCG",,,Overall,Well-led,Requires improvement,12/02/2020,Location,Y,http://www.cqc.org.uk/location/1-10052707705,1-9905520393,Goodwood Homecare Limited,-,-,WV164DX,52.535672,-2.419253,371659,293173,South Shropshire,Shropshire,Bridgnorth East,Shropshire 033A,E01028832,16195,5
1-10052707705,VNH61,Goodwood Homecare,N,Social Care Org,Community based adult social care services,54 High Street,,Bridgnorth,WV16 4DX,Shropshire,West Midlands,Midlands,E38000257,"NHS Shropshire, Telford and Wrekin CCG",,,Overall,Overall,Requires improvement,12/02/2020,Location,Y,http://www.cqc.org.uk/location/1-10052707705,1-9905520393,Goodwood Homecare Limited,-,-,WV164DX,52.535672,-2.419253,371659,293173,South Shropshire,Shropshire,Bridgnorth East,Shropshire 033A,E01028832,16195,5
1-10052707705,VNH61,Goodwood Homecare,N,Social Care Org,Community based adult social care services,54 High Street,,Bridgnorth,WV16 4DX,Shropshire,West Midlands,Midlands,E38000257,"NHS Shropshire, Telford and Wrekin CCG",,,Overall,Safe,Good,12/02/2020,Location,Y,http://www.cqc.org.uk/location/1-10052707705,1-9905520393,Goodwood Homecare Limited,-,-,WV164DX,52.535672,-2.419253,371659,293173,South Shropshire,Shropshire,Bridgnorth East,Shropshire 033A,E01028832,16195,5
1-10052707705,VNH61,Goodwood Homecare,N,Social Care Org,Community based adult social care services,54 High Street,,Bridgnorth,WV16 4DX,Shropshire,West Midlands,Midlands,E38000257,"NHS Shropshire, Telford and Wrekin CCG",,,Overall,Caring,Good,12/02/2020,Location,Y,http://www.cqc.org.uk/location/1-10052707705,1-9905520393,Goodwood Homecare Limited,-,-,WV164DX,52.535672,-2.419253,371659,293173,South Shropshire,Shropshire,Bridgnorth East,Shropshire 033A,E01028832,16195,5
1-10052707705,VNH61,Goodwood Homecare,N,Social Care Org,Community based adult social care services,54 High Street,,Bridgnorth,WV16 4DX,Shropshire,West Midlands,Midlands,E38000257,"NHS Shropshire, Telford and Wrekin CCG",,,Overall,Responsive,Good,12/02/2020,Location,Y,http://www.cqc.org.uk/location/1-10052707705,1-9905520393,Goodwood Homecare Limited,-,-,WV164DX,52.535672,-2.419253,371659,293173,South Shropshire,Shropshire,Bridgnorth East,Shropshire 033A,E01028832,16195,5
1-10154690795,VNH76,JAM Care,N,Social Care Org,Community based adult social care services,Suite 1,"Kingsland House, Stafford Park 1",Telford,TF3 3BD,Telford and Wrekin,West Midlands,Midlands,E38000257,"NHS Shropshire, Telford and Wrekin CCG",,,Overall,Safe,Good,14/07/2022,Location,N,http://www.cqc.org.uk/location/1-10154690795,1-9747090175,Jam Care Limited,-,-,TF33BD,52.679332,-2.433601,370782,309159,Telford,Telford and Wrekin,The Nedge,Telford and Wrekin 018A,E01014191,11347,4
1-10154690795,VNH76,JAM Care,N,Social Care Org,Community based adult social care services,Suite 1,"Kingsland House, Stafford Park 1",Telford,TF3 3BD,Telford and Wrekin,West Midlands,Midlands,E38000257,"NHS Shropshire, Telford and Wrekin CCG",,,Overall,Effective,Good,14/07/2022,Location,N,http://www.cqc.org.uk/location/1-10154690795,1-9747090175,Jam Care Limited,-,-,TF33BD,52.679332,-2.433601,370782,309159,Telford,Telford and Wrekin,The Nedge,Telford and Wrekin 018A,E01014191,11347,4
1-10154690795,VNH76,JAM Care,N,Social Care Org,Community based adult social care services,Suite 1,"Kingsland House, Stafford Park 1",Telford,TF3 3BD,Telford and Wrekin,West Midlands,Midlands,E38000257,"NHS Shropshire, Telford and Wrekin CCG",,,Overall,Caring,Good,14/07/2022,Location,N,http://www.cqc.org.uk/location/1-10154690795,1-9747090175,Jam Care Limited,-,-,TF33BD,52.679332,-2.433601,370782,309159,Telford,Telford and Wrekin,The Nedge,Telford and Wrekin 018A,E01014191,11347,4
1-10154690795,VNH76,JAM Care,N,Social Care Org,Community based adult social care services,Suite 1,"Kingsland House, Stafford Park 1",Telford,TF3 3BD,Telford and Wrekin,West Midlands,Midlands,E38000257,"NHS Shropshire, Telford and Wrekin CCG",,,Overall,Responsive,Good,14/07/2022,Location,N,http://www.cqc.org.uk/location/1-10154690795,1-9747090175,Jam Care Limited,-,-,TF33BD,52.679332,-2.433601,370782,309159,Telford,Telford and Wrekin,The Nedge,Telford and Wrekin 018A,E01014191,11347,4
1-10154690795,VNH76,JAM Care,N,Social Care Org,Community based adult social care services,Suite 1,"Kingsland House, Stafford Park 1",Telford,TF3 3BD,Telford and Wrekin,West Midlands,Midlands,E38000257,"NHS Shropshire, Telford and Wrekin CCG",,,Overall,Well-led,Good,14/07/2022,Location,N,http://www.cqc.org.uk/location/1-10154690795,1-9747090175,Jam Care Limited,-,-,TF33BD,52.679332,-2.433601,370782,309159,Telford,Telford and Wrekin,The Nedge,Telford and Wrekin 018A,E01014191,11347,4
1-10154690795,VNH76,JAM Care,N,Social Care Org,Community based adult social care services,Suite 1,"Kingsland House, Stafford Park 1",Telford,TF3 3BD,Telford and Wrekin,West Midlands,Midlands,E38000257,"NHS Shropshire, Telford and Wrekin CCG",,,Overall,Overall,Good,14/07/2022,Location,N,http://www.cqc.org.uk/location/1-10154690795,1-9747090175,Jam Care Limited,-,-,TF33BD,52.679332,-2.433601,370782,309159,Telford,Telford and Wrekin,The Nedge,Telford and Wrekin 018A,E01014191,11347,4
1-10160536681,VNHN3,Wishing Well Home Care,N,Social Care Org,Community based adult social care services,Unit 1a Maypole Court,"2 High Street, Wem",Shrewsbury,SY4 5AA,Shropshire,West Midlands,Midlands,E38000257,"NHS Shropshire, Telford and Wrekin CCG",,,Overall,Safe,Good,24/08/2019,Location,Y,http://www.cqc.org.uk/location/1-10160536681,1-6808756109,Wishing Well Home Care Limited,-,-,SY45AA,52.85578,-2.723186,351401,328944,North Shropshire,Shropshire,Wem,Shropshire 008A,E01028886,14263,5
1-10160536681,VNHN3,Wishing Well Home Care,N,Social Care Org,Community based adult social care services,Unit 1a Maypole Court,"2 High Street, Wem",Shrewsbury,SY4 5AA,Shropshire,West Midlands,Midlands,E38000257,"NHS Shropshire, Telford and Wrekin CCG",,,Overall,Effective,Good,24/08/2019,Location,Y,http://www.cqc.org.uk/location/1-10160536681,1-6808756109,Wishing Well Home Care Limited,-,-,SY45AA,52.85578,-2.723186,351401,328944,North Shropshire,Shropshire,Wem,Shropshire 008A,E01028886,14263,5
1-10160536681,VNHN3,Wishing Well Home Care,N,Social Care Org,Community based adult social care services,Unit 1a Maypole Court,"2 High Street, Wem",Shrewsbury,SY4 5AA,Shropshire,West Midlands,Midlands,E38000257,"NHS Shropshire, Telford and Wrekin CCG",,,Overall,Caring,Good,24/08/2019,Location,Y,http://www.cqc.org.uk/location/1-10160536681,1-6808756109,Wishing Well Home Care Limited,-,-,SY45AA,52.85578,-2.723186,351401,328944,North Shropshire,Shropshire,Wem,Shropshire 008A,E01028886,14263,5
1-10160536681,VNHN3,Wishing Well Home Care,N,Social Care Org,Community based adult social care services,Unit 1a Maypole Court,"2 High Street, Wem",Shrewsbury,SY4 5AA,Shropshire,West Midlands,Midlands,E38000257,"NHS Shropshire, Telford and Wrekin CCG",,,Overall,Responsive,Good,24/08/2019,Location,Y,http://www.cqc.org.uk/location/1-10160536681,1-6808756109,Wishing Well Home Care Limited,-,-,SY45AA,52.85578,-2.723186,351401,328944,North Shropshire,Shropshire,Wem,Shropshire 008A,E01028886,14263,5
1-10160536681,VNHN3,Wishing Well Home Care,N,Social Care Org,Community based adult social care services,Unit 1a Maypole Court,"2 High Street, Wem",Shrewsbury,SY4 5AA,Shropshire,West Midlands,Midlands,E38000257,"NHS Shropshire, Telford and Wrekin CCG",,,Overall,Well-led,Good,24/08/2019,Location,Y,http://www.cqc.org.uk/location/1-10160536681,1-6808756109,Wishing Well Home Care Limited,-,-,SY45AA,52.85578,-2.723186,351401,328944,North Shropshire,Shropshire,Wem,Shropshire 008A,E01028886,14263,5
1-10160536681,VNHN3,Wishing Well Home Care,N,Social Care Org,Community based adult social care services,Unit 1a Maypole Court,"2 High Street, Wem",Shrewsbury,SY4 5AA,Shropshire,West Midlands,Midlands,E38000257,"NHS Shropshire, Telford and Wrekin CCG",,,Overall,Overall,Good,24/08/2019,Location,Y,http://www.cqc.org.uk/location/1-10160536681,1-6808756109,Wishing Well Home Care Limited,-,-,SY45AA,52.85578,-2.723186,351401,328944,North Shropshire,Shropshire,Wem,Shropshire 008A,E01028886,14263,5
1-10211192128,M82006,Riverside Medical Practice,N,Primary Medical Services,GP Practices,Barker Street,,Shrewsbury,SY1 1QJ,Shropshire,West Midlands,Midlands,E38000257,"NHS Shropshire, Telford and Wrekin CCG",,,Overall,Safe,Good,28/07/2023,Location,N,http://www.cqc.org.uk/location/1-10211192128,1-199767308,Riverside Medical Practice,-,-,SY11QJ,52.708314,-2.757468,348920,312564,Shrewsbury,Shropshire,Quarry & Coton Hill,Shropshire 019A,E01028946,16829,6
1-10211192128,M82006,Riverside Medical Practice,N,Primary Medical Services,GP Practices,Barker Street,,Shrewsbury,SY1 1QJ,Shropshire,West Midlands,Midlands,E38000257,"NHS Shropshire, Telford and Wrekin CCG",,,Overall,Effective,Good,28/07/2023,Location,N,http://www.cqc.org.uk/location/1-10211192128,1-199767308,Riverside Medical Practice,-,-,SY11QJ,52.708314,-2.757468,348920,312564,Shrewsbury,Shropshire,Quarry & Coton Hill,Shropshire 019A,E01028946,16829,6
1-10211192128,M82006,Riverside Medical Practice,N,Primary Medical Services,GP Practices,Barker Street,,Shrewsbury,SY1 1QJ,Shropshire,West Midlands,Midlands,E38000257,"NHS Shropshire, Telford and Wrekin CCG",,,Overall,Caring,Good,28/07/2023,Location,N,http://www.cqc.org.uk/location/1-10211192128,1-199767308,Riverside Medical Practice,-,-,SY11QJ,52.708314,-2.757468,348920,312564,Shrewsbury,Shropshire,Quarry & Coton Hill,Shropshire 019A,E01028946,16829,6
1-10211192128,M82006,Riverside Medical Practice,N,Primary Medical Services,GP Practices,Barker Street,,Shrewsbury,SY1 1QJ,Shropshire,West Midlands,Midlands,E38000257,"NHS Shropshire, Telford and Wrekin CCG",,,Overall,Well-led,Good,28/07/2023,Location,N,http://www.cqc.org.uk/location/1-10211192128,1-199767308,Riverside Medical Practice,-,-,SY11QJ,52.708314,-2.757468,348920,312564,Shrewsbury,Shropshire,Quarry & Coton Hill,Shropshire 019A,E01028946,16829,6
1-10211192128,M82006,Riverside Medical Practice,N,Primary Medical Services,GP Practices,Barker Street,,Shrewsbury,SY1 1QJ,Shropshire,West Midlands,Midlands,E38000257,"NHS Shropshire, Telford and Wrekin CCG",,,Overall,Overall,Good,28/07/2023,Location,N,http://www.cqc.org.uk/location/1-10211192128,1-199767308,Riverside Medical Practice,-,-,SY11QJ,52.708314,-2.757468,348920,312564,Shrewsbury,Shropshire,Quarry & Coton Hill,Shropshire 019A,E01028946,16829,6
1-10211192128,M82006,Riverside Medical Practice,N,Primary Medical Services,GP Practices,Barker Street,,Shrewsbury,SY1 1QJ,Shropshire,West Midlands,Midlands,E38000257,"NHS Shropshire, Telford and Wrekin CCG",,,Overall,Responsive,Requires improvement,28/07/2023,Location,N,http://www.cqc.org.uk/location/1-10211192128,1-199767308,Riverside Medical Practice,-,-,SY11QJ,52.708314,-2.757468,348920,312564,Shrewsbury,Shropshire,Quarry & Coton Hill,Shropshire 019A,E01028946,16829,6
